GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project7,ru.netology.domain,MovieItem,0,3,0,0,0,2,0,1,0,1
Project7,ru.netology.manager,PosterManager,0,93,0,4,0,22,0,5,0,3
